Drug|Name
CHOL100041|CHOLECALCIFEROL (VITAMIN D3)
FERR325T47|FERROUS SULFATE
CETI5TAB6|CETIRIZINE HCL
MULTCAP|MULTIVITAMIN
SACC250C3|SACCHAROMYCES BOULARDII
SENN187T50|SENNOSIDES/DOCUSATE SODIUM
SODI0.9I27|NORMAL SALINE
DOCU100C16|DOCUSATE SODIUM
KLORPK|POTASSIUM CHLORIDE
NF|NON FORMULARY
ZYR10MG|CETIRIZINE HCL
NICODIS4|NICOTINE
ASCO500T|ASCORBIC ACID
PENDING|PENDING CLARIFICATION
MICO92CR2|MICONAZOLE NITRATE
THERTAB|MULTIVITAMINS,THER W-MINERALS
POLY17UD|POLYETHYLENE GLYCOL 3350
LID5PAT|LIDOCAINE
CALC-193|CALCIUM CARBONATE/VITAMIN D3
OXYCPOW|OXYCHLOROSENE
ACID1TAB7|ACIDOPHILUS/BULGARICUS
LACTINJ3|RINGERS SOLUTION,LACTATED
TROPONIN|TROPONIN-ASA PROTOCOL
NICODIS6|NICOTINE
VITA5000|ERGOCALCIFEROL (VITAMIN D2)
LACT30UD|LACTULOSE
LATADROPS|LATANOPROST
NYSTPOW|NYSTATIN
VITAMINE|VITAMIN E ACETATE
EMOL45EM4|EMOLLIENT COMBINATION NO.10
SODI0.454|1/2 NORMAL SALINE
SENN187T10|SENNOSIDES
CYAN500T2|CYANOCOBALAMIN (VITAMIN B-12)
TRIA0.1LB|TRIAMCINOLONE ACETONIDE
SEN5MLUD|SENNOSIDES
BRIM5DRO5|BRIMONIDINE TARTRATE
TIMO5DRO19|TIMOLOL MALEATE
NICODIS|NICOTINE
THIA100T3|THIAMINE HCL
ATRO5DRO2|ATROPINE SULFATE
CARB30DR|CARBOXYMETHYLCELLULOSE SODIUM
PRED1%OPTH|PREDNISOLONE ACETATE
NYSTOIN|NYSTATIN/TRIAMCIN
NEPHRO|FOLIC ACID/VITAMIN B COMP W-C
SALI44.32|SALIVA STIMULANT AGENTS COMB.3
CALC0.25|CALCITRIOL
FOLI1TAB17|FOLIC ACID
GUAIF600ER|GUAIFENESIN
DEXT.15I11|POTASSIUM CHLORIDE IN D5-1/2NS
CYAN10006|CYANOCOBALAMIN (VITAMIN B-12)
DIPH25CA22|DIPHENHYDRAMINE HCL
NICOREMOVE|REMOVE NICOTINE PATCH
NIZ15GM|KETOCONAZOLE
THIA200I4|THIAMINE HCL
NAPR250T40|NAPROXEN
VITD400|CHOLECALCIFEROL (VITAMIN D3)
MAGN400T|MAGNESIUM OXIDE
POTA20TA6|POTASSIUM CHLORIDE
ELECPHOS|ELECTROLYTE PHOSPHORUS REPLACE
ELECPOTASS|ELECTROLYTE POTASSIUM REPLACE
ELECCALCIU|ELECTROLYTE CALCIUM REPLACE
ELECMAGNES|ELECTROLYTE MAGNESIUM REPLACE
10POT100ML|POTASSIUM CHLORIDE
DIPH50IN7|DIPHENHYDRAMINE HCL
FISHOIL|OMEGA-3/DHA/EPA/FISH OIL
POTA10TA10|POTASSIUM CHLORIDE
IRON45TA|IRON,CARBONYL
IBUP600MG|IBUPROFEN
IBUP400T53|IBUPROFEN
DEXT10250|DEXTROSE 10%-WATER
ZINC20OI5|ZINC OXIDE
ACET650SUP|ACETAMINOPHEN
DEXT0.457|DEXTROSE 5%-1/2 NORMAL SALINE
FAT250EM5|FAT EMULSIONS
AMIN20005|AMINO ACIDS 5%/D15W
PT|PT OWN MED
TYL325|ACETAMINOPHEN
DEXT0.9I3|DEXTROSE 5%-NORMAL SALINE
PRENTAB2|PRENATAL VIT/FE FUMARATE/FA
NSKCL20|POTASSIUM CHLORIDE/NS
AA 420002|AA 4.25%/CALCIUM/LYTES/DEX 10%
FOLI5INJ2|FOLIC ACID
OCEA0.65|SODIUM CHLORIDE
SIL25CR|SILVER SULFADIAZINE
SODI354T|SODIUM,POTASSIUM,&MAG SULFATES
CADE10GE2|CADEXOMER IODINE
ASPI81CH2|ASPIRIN
CALC250T1|CALCIUM CARBONATE/VITAMIN D3
BISACODYL|BISACODYL
ALPH|BRIMONIDINE TARTRATE
FERR300S|FERROUS SULFATE
SODI1TAB|SODIUM CHLORIDE
DORZ10DR|DORZOLAMIDE HCL
EUCECR|MINERAL OIL/PETROLATUM,WHITE
MUPI22OI4|MUPIROCIN
ENASA81MG|ASPIRIN
ASPI325T58|ASPIRIN
ASPI3SUP|ASPIRIN
CALCIUM|CALCIUM CARBONATE
OYST500T9|CALCIUM CARBONATE
HEPA50009|HEPARIN SODIUM,PORCINE
