Mnemonic|Name
109914007|Neoplasm of uncertain behavior of meninges
116288000|Paralytic stroke
11687002|Gestational diabetes mellitus
123843001|Neoplasm of ovary
126488004|Neoplasm of skin
126644004|Neoplasm of pelvis
126788000|Neoplasm of parotid gland
126809003|Neoplasm of oropharynx
126824007|Neoplasm of stomach
126832004|Neoplasm of small intestine
126847008|Neoplasm of rectum
126851005|Neoplasm of liver
126872008|Neoplasm of retroperitoneum
126880001|Neoplasm of kidney
126885006|Neoplasm of bladder
126906006|Neoplasm of prostate
126926005|Neoplasm of breast
126952004|Neoplasm of brain
127018007|Neoplasm of thyroid gland
127021009|Neoplasm of adrenal gland
127024001|Neoplasm of pituitary gland
129154003|Hematologic neoplasm
13645005|COPD Chronic obstructive lung disease
15771004|Diabetes insipidus
160297008|Family history: neoplasm of ovary
160303001|Family history: Diabetes mellitus
160402005|Family history: Diabetes in pregnancy
161445009|History of - diabetes mellitus
171149006|Screening for malignant neoplasm of cervix
171183004|Diabetes mellitus screening
188151006|Malignant neoplasm of central part of female breast
188152004|Malignant neoplasm of upper-inner quadrant of female breast
188153009|Malignant neoplasm of lower-inner quadrant of female breast
188154003|Malignant neoplasm of upper-outer quadrant of female breast
188155002|Malignant neoplasm of lower-outer quadrant of female breast
188189001|Malignant neoplasm of corpus uteri, excluding isthmus
188241004|Malignant neoplasm of lateral wall of urinary bladder
188243001|Malignant neoplasm of posterior wall of urinary bladder
188353002|Malignant neoplasm of head, neck and face
188462001|Secondary malignant neoplasm of brain and spinal cord
189053003|Benign neoplasm of eyelid including canthus
189078004|Benign neoplasm of skin of upper limb and shoulder
189484008|Neoplasm of uncertain behavior of brain and/or spinal cord
190331003|Diabetes mellitus, adult onset, with hyperosmolar coma
190368000|Type I diabetes mellitus with ulcer
190371008|Type I diabetes mellitus - poor control
190389009|Type II diabetes mellitus with ulcer
190390000|Type II diabetes mellitus with gangrene
190392008|Type II diabetes mellitus - poor control
190447002|Steroid-induced diabetes
195109001|Acute congestive heart failure
196001008|Chr obstructive pulmonary disease w/ acute lower respiratory infxn
199230006|Pre-existing diabetes mellitus, non-insulin-dependent
237599002|Insulin-treated non-insulin-dependent diabetes mellitus
254637007|Non-small cell lung cancer
255166003|Benign neoplasm of respiratory system
268547008|Screening for malignant neoplasm of breast
271477007|Benign neoplasm of skin of ear and external auditory meatus
271479005|Benign neoplasm of pituitary gland and craniopharyngeal duct
275104002|Family history of stroke
275918005|Unstable diabetes mellitus
275937001|Family history of cancer
275978004|Screening for malignant neoplasm of colon
289917002|History of bladder neoplasm
312824007|Family history of cancer of colon
313296004|Mild chronic obstructive pulmonary disease
313297008|Moderate chronic obstructive pulmonary disease
313299006|Severe chronic obstructive pulmonary disease
313436004|Type II diabetes mellitus without complication
314904008|Type II diabetes mellitus with neuropathic arthropathy
315058005|Hereditary nonpolyposis colon cancer
363346000|Cancer - Malignant neoplastic disease
371973000|Malignant neoplasm of uterus
372003004|Primary malignant neoplasm of pancreas
372010005|Primary malignant neoplasm of soft tissues
372016004|Primary malignant neoplasm of the peritoneum
372064008|Malignant neoplasm of female breast
372126009|Malignant neoplasm of skin of trunk
372130007|Malignant neoplasm of skin
401110002|Type 1 diabetes mellitus with persistent microalbuminuria
414205003|Family history of prostate cancer
414628006|Lymphoid neoplasm
414861001|No evidence of recurrence of cancer
415076002|Personal history of primary malignant neoplasm of breast
415077006|Personal history of primary malignant neoplasm of bronchus
415081006|Personal history of primary malignant neoplasm of kidney
415082004|Personal history of primary malignant neoplasm of lung
415084003|Personal history of primary malignant neoplasm of skin
415086001|Personal history of primary malignant neoplasm of urinary bladder
419645003|Benign neoplasm of oral cavity
420270002|Ketoacidosis in type I diabetes mellitus
420279001|Renal disorder associated with type II diabetes mellitus
420422005|Ketoacidosis in diabetes mellitus
420715001|Persistent microalbuminuria associated with type II diabetes mellitus
421165007|Diabetic oculopathy associated with type I diabetes mellitus
421326000|Neurologic disorder associated with type II diabetes mellitus
421468001|Neurological disorder associated with type I diabetes mellitus
421707005|Polyneuropathy associated with type II diabetes mellitus
421750000|Ketoacidosis in type II diabetes mellitus
421893009|Renal disorder associated with type I diabetes mellitus
421986006|Persistent proteinuria associated with type II diabetes mellitus
422014003|Disorder associated with type II diabetes melliltus
422099009|Diabetic oculopathy associated with type II diabetes mellitus
422166005|Peripheral circulatory disorder associated with type II diabetes mellitus
422504002|Ischemic stroke
423263001|Diabetic autonomic neuropathy associated with type 2 diabetes mellitus
42343007|CHF Congestive heart failure
424989000|Diabetic gastroparesis associated with type 2 diabetes mellitus
428007007|Erectile dysfunction associated with type 2 diabetes mellitus
428053000|History of malignant basal cell neoplasm of skin
428061005|Malignant neoplasm of brain
428262008|History of malignant neoplasm of prostate
428281000|Malignant neoplasm of bone
428905002|Malignant neoplasm of gastrointestinal tract
428941002|History of malignant neoplasm of uterine body
429006005|Family history of malignant neoplasm of gastrointestinal tract
429011007|Family history of malignant neoplasm of lung
429089000|History of malignant neoplasm of endometrium
429090009|History of malignant neoplasm of ovary
429254008|History of malignant neoplasm of thyroid
429409005|History of malignant neoplasm of tongue
429410000|History of malignant neoplasm of esophagus
429444007|History of malignant neoplasm of ureter
429484003|History of malignant neoplasm of cervix
429699009|History of malignant neoplasm of colon
429740004|Family history of malignant neoplasm of breast
430705002|Family history of malignant neoplasm of ovary
430947007|Paralytic syndrome of nondominant side as late effect of stroke
430959006|Paralytic syndrome of dominant side as late effect of stroke
432519008|Increased cancer antigen 125
44054006|Diabetes mellitus type 2
45369008|Neurohypophyseal diabetes insipidus
46635009|Diabetes mellitus type 1
5148006|Hypertensive heart disease with congestive heart failure
60899001|Hypertensive heart disease without congestive heart failure
73211009|Diabetes mellitus
74960003|Acute left-sided congestive heart failure
80479009|Acute right-sided congestive heart failure
88805009|Chronic congestive heart failure
92030004|Benign neoplasm of brain
92051001|Benign neoplasm of cerebral meninges
92059004|Benign neoplasm of choroid
92065004|Benign neoplasm of colon
92071005|Benign neoplasm of cranial nerve
92102001|Benign neoplasm of female breast
92258000|Benign neoplasm of orbit
92260003|Benign neoplasm of ovary
92264007|Benign neoplasm of pancreas
92296004|Benign neoplasm of pituitary gland
92308005|Benign neoplasm of prostate
92359006|Benign neoplasm of skin of face
92369000|Benign neoplasm of skin of lip
92370004|Benign neoplasm of skin of lower limb
92371000|Benign neoplasm of skin of neck
92375009|Benign neoplasm of skin of scalp
92380000|Benign neoplasm of skin of trunk
92384009|Benign neoplasm of skin
92394004|Benign neoplasm of soft tissues of lower limb
92401003|Benign neoplasm of soft tissues of upper limb
92439006|Benign neoplasm of thyroid gland
92506005|Biventricular congestive heart failure
93797001|Primary malignant neoplasm of female genital organ
93870000|Malignant neoplasm of liver
93880001|Primary malignant neoplasm of lung
93934004|Primary malignant neoplasm of ovary
93974005|Primary malignant neoplasm of prostate
93980002|Primary malignant neoplasm of rectosigmoid junction
94022001|Primary malignant neoplasm of skin of face
94038007|Primary malignant neoplasm of skin of scalp
94161006|Secondary malignant neoplasm of adrenal gland
94180008|Secondary malignant neoplasm of axilla
94222008|Secondary malignant neoplasm of bone
94225005|Secondary malignant neoplasm of brain
94243009|Secondary malignant neoplasm of central nervous system
94254004|Secondary malignant neoplasm of choroid
94264008|Secondary malignant neoplasm of soft tissues
94347008|Secondary malignant neoplasm of intra-abdominal lymph nodes
94350006|Secondary malignant neoplasm of intrapelvic lymph nodes
94351005|Secondary malignant neoplasm of intrathoracic lymph nodes
94365007|Secondary malignant neoplasm of large intestine
94381002|Secondary malignant neoplasm of liver
94391008|Secondary malignant neoplasm of lung
94392001|Secondary malignant neoplasm of lymph node
94393006|Secondary malignant neoplasm of lymph nodes of face
94397007|Secondary malignant neoplasm of lymph nodes of neck
94409002|Secondary malignant neoplasm of mediastinum
94455000|Secondary malignant neoplasm of ovary
94459006|Secondary malignant neoplasm of pancreas
94493005|Secondary malignant neoplasm of pleura
94579000|Secondary malignant neoplasm of skin
94602001|Secondary malignant neoplasm of vertebral column
94627008|Secondary malignant neoplasm of the peritoneum
94628003|Secondary malignant neoplasm of retroperitoneum
